Title,Location,Area,Status,Price,Year,Bathroom,District
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.41,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.42,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.43,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.44,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.45,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.3,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.34,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.45,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.46,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1249,Ready to move,1.4,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1248,Ready to move,1.4,,3 Bathrooms,South/West/Central Delhi
1 BHK Independent Floor,,445,Ready to move,36,,Resale,South-West Delhi
2 BHK Apartment,,1000,Ready to move,98,,2 Bathrooms,South-West Delhi
1 BHK Independent Floor,,500,Ready to move,25,,1 Bathrooms,South-West Delhi
3 BHK Independent Floor,,1800,Ready to move,2.5,,Resale,South/West/Central Delhi
2 BHK Apartment,,1150,Ready to move,84.99,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,,545,Ready to move,23,,Resale,South-West Delhi
10 BHK Independent House,,4500,Ready to move,9,,Resale,South/West/Central Delhi
2 BHK Independent Floor,,450,Ready to move,22,,1 Bathrooms,South-West Delhi
3 BHK Independent Floor,,2700,Ready to move,7.5,,Resale,South/West/Central Delhi
3 BHK Independent Floor,,1000,Under Construction,48,,Resale,South-West Delhi
2 BHK Independent Floor,,757,Ready to move,35,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,,1000,Ready to move,40,,2 Bathrooms,South-West Delhi
4 BHK Apartment,,3265,Ready to move,10,,4 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,720,Ready to move,44,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,,810,Ready to move,60,,2 Bathrooms,South-West Delhi
3 BHK Apartment,,1275,Ready to move,1.3,,Resale,South/West/Central Delhi
3 BHK Independent Floor,,1100,Ready to move,65,,Resale,South-West Delhi
3 BHK Independent Floor,,1101,Ready to move,65,,Resale,South-West Delhi
3 BHK Independent Floor,,1102,Ready to move,65,,Resale,South-West Delhi
3 BHK Independent Floor,,1250,Ready to move,1.25,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",801,Ready to move,36.5,,,South-West Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",800,Under Construction,38,,,South-West Delhi
3 BHK Apartment,"Jamia Nagar, Delhi",1100,Ready to move,70,,,South-West Delhi
Residential Plot,"Karol Bagh, Delhi",900,Resale,2.5,,,South/West/Central Delhi
Residential Plot,"Najafgarh, Delhi",450,Resale,15.5,,,South/West/Central Delhi
Residential Plot,"Najafgarh, Delhi",900,Resale,20,,,South-West Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.55,,,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1250,Ready to move,1.65,,,South/West/Central Delhi
1 BHK Independent Floor,"Sector-7 Rohini, Delhi",345,Ready to move,33,,,South-West Delhi
4 BHK Independent Floor,"vikaspuri, Delhi",2800,Ready to move,5,,,South/West/Central Delhi
3 BHK Independent Floor,"vikaspuri, Delhi",1500,Ready to move,2.45,,,South/West/Central Delhi
4 BHK Independent Floor,"Punjabi Bagh, Delhi",2495,Ready to move,4.25,,,South/West/Central Delhi
3 BHK Independent Floor,"Sector 1 Dwarka, Delhi",1100,Under Construction,75,,,South-West Delhi
1 BHK Apartment,"Sector 14 Dwarka, Delhi",500,Ready to move,42,,,South-West Delhi
2 BHK Independent Floor,"Najafgarh, Delhi",800,Under Construction,32,,,South-West Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",800,Ready to move,37,,,South-West Delhi
2 BHK Independent Floor,"Chattarpur, Delhi",700,Under Construction,35,,,South-West Delhi
1 BHK Independent Floor,"Sector 6 Rohini, Delhi",320,Ready to move,30,,,South-West Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",500,Ready to move,29.99,,,South-West Delhi
3 BHK Independent House,"Saboli, Delhi",631,Ready to move,35.75,,,South-West Delhi
2 BHK Independent Floor,,850,Ready to move,45.99,,,South-West Delhi
5 BHK Independent Floor,,1980,Ready to move,1.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1350,Ready to move,1,,,South/West/Central Delhi
2 BHK Apartment,,700,Ready to move,7,,,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,74.99,,,South-West Delhi
1 BHK Independent Floor,,360,Ready to move,16.9,,,South/West/Central Delhi
3 BHK Independent Floor,,1000,Ready to move,1.1,,,South/West/Central Delhi
2 BHK Independent Floor,,800,Ready to move,39,,,South-West Delhi
2 BHK Apartment,,675,Ready to move,23,,,South-West Delhi
3 BHK Apartment,,1200,Ready to move,1.8,,,South/West/Central Delhi
3 BHK Apartment,,1150,Ready to move,1.8,,,South/West/Central Delhi
1 BHK Independent Floor,,490,Ready to move,32,,,South-West Delhi
2 BHK Independent Floor,,585,Ready to move,32,,,South-West Delhi
2 BHK Independent Floor,,650,Ready to move,34.5,,,South-West Delhi
3 BHK Independent Floor,,1000,Ready to move,48,,,South-West Delhi
3 BHK Apartment,,1650,Ready to move,1.9,,,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,36.45,,,South-West Delhi
2 BHK Apartment,,500,Ready to move,33,,,South-West Delhi
2 BHK Independent Floor,,800,Under Construction,38.5,,,South-West Delhi
Residential Plot,,900,Resale,18,,,South/West/Central Delhi
2 BHK Apartment,,585,Ready to move,26,,,South-West Delhi
4 BHK Independent Floor,,1400,Ready to move,1.1,,,South/West/Central Delhi
2 BHK Independent Floor,,700,Ready to move,85,,,South-West Delhi
